,Phone_Name,Reviews,RAM,ROM,Display_Size,Processor,Battery,Rear_Camera,Front_Camera,Current_Price,Original_Price
0,"Infinix Hot 50 5G (Vibrant Blue, 128 GB)","5,423 Ratings & 406 Reviews",4 GB RAM , 128 GB ROM ,6.7 inch,Dimensity 6300 Processor,5000 mAh Lithium-ion Polymer Battery,N/A,N/A,"₹9,499","₹12,999"
1,"MTOUCH New Rock Slider Sim |Keypad Mobile| with 2.4"" Display |Slide|Slider",7 Ratings & 0 Reviews,32 MB RAM , 32 MB ROM6.1 cm (2.4 inch) Display0.3MP Rear Camera3000 mAh Battery1 Year Manufacturer Warranty,2.4 inch,N/A,3000 mAh Battery,0.3MP Rear Camera,N/A,"₹2,137","₹4,999"
2,Snexian ROCK X,"2,169 Ratings & 104 Reviews",32 MB RAM , 32 MB ROM ,1.8 inch,N/A,3000 mAh Battery,0.3MP Rear Camera,N/A,"₹1,803","₹2,999"
3,Pear P4,10 Ratings & 0 Reviews,32 MB RAM , 32 MB ROM3.66 cm (1.44 inch) Display0.3MP Rear Camera900 mAh Battery6 MONTHS WARRENTY,1.44 inch,N/A,900 mAh Battery,0.3MP Rear Camera,N/A,₹880,"₹1,599"
4,Pear P3,25 Ratings & 0 Reviews,32 MB RAM , 32 MB ROM3.66 cm (1.44 inch) Display0.3MP Rear Camera900 mAh Battery6 MONTHS WARRENTY,1.44 inch,N/A,900 mAh Battery,0.3MP Rear Camera,N/A,₹880,"₹1,599"
5,BlackZone PEPSO,8 Ratings & 0 Reviews,32 MB RAM , 32 MB ROM2.54 cm (1 inch) Display0.3MP Rear Camera800 mAh Battery1 Year Manufacturer Warranty for Device,1 inch,N/A,800 mAh Battery,0.3MP Rear Camera,N/A,"₹1,405","₹1,699"
6,BlackZone PEPSO,8 Ratings & 0 Reviews,32 MB RAM , 32 MB ROM2.54 cm (1 inch) Display0.3MP Rear Camera800 mAh Battery1 Year Manufacturer Warranty for Device,1 inch,N/A,800 mAh Battery,0.3MP Rear Camera,N/A,"₹1,405","₹1,699"
7,ANGAGE A6130,71 Ratings & 4 Reviews,64 MB RAM , 64 MB ROM ,2.4 inch,N/A,3000 mAh Battery,0.3MP Rear Camera,N/A,"₹1,095","₹1,699"
8,UiSmart M2,53 Ratings & 5 Reviews,32 MB RAM , 32 MB ROM4.32 cm (1.7 inch) Display2MP Rear Camera1100 mAh Battery1 month seller warranty,1.7 inch,N/A,1100 mAh Battery,2MP Rear Camera,N/A,"₹1,999","₹3,599"
9,Pear P4,10 Ratings & 0 Reviews,32 MB RAM , 32 MB ROM3.66 cm (1.44 inch) Display0.3MP Rear Camera900 mAh Battery6 MONTHS WARRENTY,1.44 inch,N/A,900 mAh Battery,0.3MP Rear Camera,N/A,₹950,"₹1,599"
10,"POCO C61 (Ethereal Blue, 128 GB)","10,317 Ratings & 346 Reviews",6 GB RAM , 128 GB ROM ,6.71 inch,Helio G36 Processor,5000 mAh Battery,8MP Rear Camera , 5MP Front Camera,"₹8,499","₹9,999"
11,BlackZone ORIGIN,"29,674 Ratings & 1,641 Reviews",64 MB RAM , 64 MB ROM ,1.77 inch,N/A,1100 mAh Battery,0.3MP Rear Camera,N/A,"₹1,275","₹1,849"
12,"Motorola g04s (Sunrise Orange, 64 GB)","56,324 Ratings & 3,298 Reviews",4 GB RAM , 64 GB ROM ,6.6 inch,T606 Processor,5000 mAh Battery,50MP Rear Camera , 5MP Front Camera,"₹7,299","₹9,999"
13,"Samsung Galaxy F05 (Twilight Blue, 64 GB)","6,134 Ratings & 356 Reviews",4 GB RAM , 64 GB ROM ,6.74 inch,Helio G85 Processor,5000 mAh Battery,N/A,N/A,"₹6,249","₹9,999"
14,"POCO C71 (Desert Gold, 128 GB)","8,230 Ratings & 366 Reviews",6 GB RAM , 128 GB ROM ,6.88 inch,6 x A55@1.6GHz Processor,5200 mAh Battery,32MP Rear Camera , 8MP Front Camera,"₹6,999","₹9,999"
15,"REDMI A3X (Ocean Green, 64 GB)","4,934 Ratings & 496 Reviews",3 GB RAM , 64 GB ROM ,6.71 inch,N/A,5000 mAh Battery,8MP Rear Camera , 5MP Front Camera,"₹5,999","₹9,999"
16,"Nothing Phone (3a) Pro (Black, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹29,999","₹32,999"
17,"Nothing Phone (3a) (Blue, 128 GB)","73,614 Ratings & 3,800 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
18,"POCO C75 5G (Aqua Bliss, 64 GB)","37,911 Ratings & 2,816 Reviews",4 GB RAM , 64 GB ROM ,6.88 inch,4s Gen 2 5G Processor,5160 mAh Battery,50MP Rear Camera , 5MP Front Camera,"₹7,699","₹10,999"
19,"MOTOROLA g05 (Forest Green, 64 GB)","26,059 Ratings & 2,334 Reviews",4 GB RAM , 64 GB ROM ,6.67 inch,Helio G81 Processor,5200 mAh Battery,50MP Rear Camera , 8MP Front Camera,"₹7,299","₹9,999"
20,"Nothing Phone (3a) (Black, 128 GB)","2,345 Ratings & 180 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
21,"Nothing Phone (3a) Pro (Black, 256 GB)","17,936 Ratings & 673 Reviews",12 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹33,999","₹36,999"
22,"realme C61 (Safari Green, 128 GB)","2,004 Ratings & 54 Reviews",6 GB RAM , 128 GB ROM ,6.745 inch,T612 Processor,5000 mAh Battery,32MP Rear Camera , 5MP Front Camera,"₹8,199","₹10,999"
23,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",N/A,4 GB RAM , 128 GB ROM ,6.74 inch,Dimensity 6300 5G Processor,6000 mAh Battery,N/A,N/A,"₹9,999","₹13,999"
24,"realme Narzo N61 (Vyage Blue, 64 GB)","5,348 Ratings & 258 Reviews",4 GB RAM , 64 GB ROM17.12 cm (6.74 inch) Display32MP Rear Camera5000 mAh Battery1 Year,6.74 inch,N/A,5000 mAh Battery,32MP Rear Camera,N/A,"₹7,322","₹8,999"
25,"MOTOROLA g05 (Plum Red, 64 GB)","37,911 Ratings & 2,816 Reviews",4 GB RAM , 64 GB ROM ,6.67 inch,Helio G81 Processor,5200 mAh Battery,50MP Rear Camera , 8MP Front Camera,"₹7,299","₹9,999"
26,"Nothing Phone (3a) Pro (Black, 128 GB)","4,934 Ratings & 496 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹29,999","₹32,999"
27,"Nothing Phone (3a) (Blue, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
28,"POCO C75 5G (Enchanted Green, 64 GB)","73,614 Ratings & 3,800 Reviews",4 GB RAM , 64 GB ROM ,6.88 inch,4s Gen 2 5G Processor,5160 mAh Battery,50MP Rear Camera , 5MP Front Camera,"₹7,699","₹10,999"
